id,created_at,text,retweets,favorites
560640831716335616,2015-01-29 03:29:25,"I will be in South Carolina on Friday, Jan 30 to explain #ImmigrationAction http://t.co/KYvvZ8EtTJ",3,2
541346462370902016,2014-12-06 21:40:29,"RT @RahmEmanuel: .@LuisGutierrez: ""It is my pleasure to be here today to endorse the reelection of our mayor, Rahm Emanuel.""",10,0
527947802346024961,2014-10-30 22:18:59,Proud to support @QuinnForIL today. Make your voice heard. Join me and vote early! #twill http://t.co/mEaliUSxyC,1,4
527894356460863489,2014-10-30 18:46:37,RT @icirr: Congressman Gutierrez urges you to vote early! http://t.co/SPZoo7lsYq,6,0
490500323446751232,2014-07-19 14:16:04,RT @MaryRoseWilcox: Thank you for coming to #Phx to support my campaign Congressman @LuisGutierrez #az07 http://t.co/rSWonwfQiW,4,0
490146459002880000,2014-07-18 14:49:56,RT @MaryRoseWilcox: .@LuisGutierrez will be in #Phx tomorrow w/me to demand #cir. RSVP for the rally &amp; rodeo #az07 http://t.co/Ead7eyLXKH h…,7,0
484742780862746624,2014-07-03 16:57:39,In @Trib_ed_board by @LuisGutierrez: #GOP makes huge mistake on #immigration reform http://t.co/2i643ICBOf #timeisnow #twill #p2 #latism,7,3
479337104510820353,2014-06-18 18:57:26,.@MaryRoseWilcox will take on bullies who stand in the way of #immigration http://t.co/q6bc5dcSb2 #az07 #Phx http://t.co/eZvjU5xMHn #latism,14,7
461985613018058752,2014-05-01 21:48:48,RT @lahomar: No se lo pierdan este domingo a las 8PM / 5 PT  Congresista Luis Gutiérrez en el Autor y su Obra: http://t.co/GIEUJLLNe4 via @…,1,0
439827526618476544,2014-03-01 18:20:28,"#Chicago @Trib_ed_board: For the 4th Congressional District #Democrats, we endorse @LuisGutierrez: http://t.co/2ech4jHC40 #il04 #il4",4,1
437288087769858048,2014-02-22 18:09:39,"RT @AlPunto: Congresistas @MarioDB y @LuisGutierrez luchan por mantener viva la #reformamigratoria @AlPunto  este domingo, 10am ET/ 9C/ 12m…",6,0
434520128039186432,2014-02-15 02:50:46,RT @JuanPabloWZDC: @LuisGutierrez habla a activistas de #reformamigratoria @wzdctelemundo #telenoticiasdc http://t.co/kyFtPUyiKV,4,0
408707782972801025,2013-12-05 21:21:43,"Heading to #Miami w @JoeGarcia 2 discuss my new book #StillDreaming &amp; support for #CIR. Tonight, 8PM, Books &amp; Books http://t.co/v4VBU4knON",2,1
408225397235781632,2013-12-04 13:24:53,About to join @cafecnn on @CNNEE to talk about my book #StillDreaming and #immigration.,0,0
408224534605881344,2013-12-04 13:21:28,Looking forward to it! RT @MiamiDadeDems: Remember @RepGutierrez discusses new book w @fiudems 9:30am Fri http://t.co/MpcMMkfnnm #pfla,1,1
405337156895649792,2013-11-26 14:08:03,RT @JoseADelgadoEND: Habla en San Juan @LuisGutierrez sobre su libro http://t.co/MRPzL0RuC9 vía @elnuevodia,1,0
405037876884570112,2013-11-25 18:18:49,"RT @LeninPR: Presenta en #PegaosEnLaMañana @RepGutierrez su libro ""No he dejado de soñar"" @radioisla1320 http://t.co/zLsYlszKis",2,0
404015983326949377,2013-11-22 22:38:11,RT @jrperello: @RepGutierrez presentará su libro 'NO HE DEJADO DE SOÑAR' el próximo martes 26/nov 6PM en @ColegioSiempre. Te espero. http:/…,3,0
404015142297686017,2013-11-22 22:34:50,"RT @ColegioSiempre: ""No he dejado de soñar"", dice @LuisGutierrez. Conoce su trayectoria en la presentación de su libro. 26/nov #CAPRapoya h…",2,0
